Ville_code_postal,Commune,code_insee
Lévis-Saint-Nom (78320),Lévis-Saint-Nom,78334
Louveciennes (78430),Louveciennes,78350
Maisons-Laffitte (78600),Maisons-Laffitte,78358
Mantes-la-Jolie (78200),Mantes-la-Jolie,78361
Mantes-la-Ville (78711),Mantes-la-Ville,78362
Mareil-sur-Mauldre (78124),Mareil-sur-Mauldre,78368
Marly-le-Roi (78160),Marly-le-Roi,78372
Maule (78580),Maule,78380
Maurepas (78310),Maurepas,78383
Le Mesnil-Saint-Denis (78320),Le Mesnil-Saint-Denis,78397
Meulan-en-Yvelines (78250),Meulan-en-Yvelines,78401
Montesson (78360),Montesson,78418
Montfort-l'Amaury (78490),Montfort-l'Amaury,78420
Montigny-le-Bretonneux (78180),Montigny-le-Bretonneux,78423
Morainvilliers (78630),Morainvilliers,78431
Les Mureaux (78130),Les Mureaux,78440
Neauphle-le-Château (78640),Neauphle-le-Château,78442
Noisy-le-Roi (78590),Noisy-le-Roi,78455
Orgeval (78630),Orgeval,78466
Le Pecq (78230),Le Pecq,78481
Plaisir (78370),Plaisir,78490
Poissy (78300),Poissy,78498
Ponthévrard (78730),Ponthévrard,78499
Le Port-Marly (78560),Le Port-Marly,78502
La Queue-les-Yvelines (78940),La Queue-les-Yvelines,78513
Rambouillet (78120),Rambouillet,78517
Richebourg (78550),Richebourg,78520
Saint-Germain-en-Laye (78100),Saint-Germain-en-Laye,78551
Saint-Rémy-lès-Chevreuse (78470),Saint-Rémy-lès-Chevreuse,78575
Sartrouville (78500),Sartrouville,78586
Trappes (78190),Trappes,78621
Vaux-sur-Seine (78740),Vaux-sur-Seine,78638
Vélizy-Villacoublay (78140),Vélizy-Villacoublay,78640
Verneuil-sur-Seine (78480),Verneuil-sur-Seine,78642
Vernouillet (78540),Vernouillet,78643
Versailles (78000),Versailles,78646
Le Vésinet (78110),Le Vésinet,78650
Villennes-sur-Seine (78670),Villennes-sur-Seine,78672
Villepreux (78450),Villepreux,78674
Viroflay (78220),Viroflay,78686
Voisins-le-Bretonneux (78960),Voisins-le-Bretonneux,78688
Saint-Gratien (95210),Saint-Gratien,80704
Saint-Ouen (93400),Saint-Ouen,80711
Montreuil (93100),Montreuil,85148
Ollainville (91340),Ollainville,88336
Chevannes (91750),Chevannes,89102
Fresnes (94260),Fresnes,89183
Ormoy (91540),Ormoy,89282
Athis-Mons (91200),Athis-Mons,91027
Ballainvilliers (91160),Ballainvilliers,91044
Ballancourt-sur-Essonne (91610),Ballancourt-sur-Essonne,91045
Baulne (91590),Baulne,91047
Bondoufle (91070),Bondoufle,91086
Bouray-sur-Juine (91850),Bouray-sur-Juine,91095
Boussy-Saint-Antoine (91800),Boussy-Saint-Antoine,91097
Boutigny-sur-Essonne (91820),Boutigny-sur-Essonne,91099
Brétigny-sur-Orge (91220),Brétigny-sur-Orge,91103
Breuillet (91650),Breuillet,91105
Brunoy (91800),Brunoy,91114
Bruyères-le-Châtel (91680),Bruyères-le-Châtel,91115
Champcueil (91750),Champcueil,91135
Chilly-Mazarin (91380),Chilly-Mazarin,91161
Corbeil-Essonnes (91100),Corbeil-Essonnes,91174
Courances (91490),Courances,91180
Crosne (91560),Crosne,91191
Draveil (91210),Draveil,91201
Echarcon (91540),Echarcon,91204
Epinay-sur-Orge (91360),Epinay-sur-Orge,91216
Etampes (91150),Etampes,91223
Évry-Courcouronnes,Évry-Courcouronnes,91228
Évry-Courcouronnes (91080),Évry-Courcouronnes,91228
Gif-sur-Yvette (91190),Gif-sur-Yvette,91272
Gironville-sur-Essonne (91720),Gironville-sur-Essonne,91273
Janville-sur-Juine (91510),Janville-sur-Juine,91318
Juvisy-sur-Orge (91260),Juvisy-sur-Orge,91326
Lardy (91510),Lardy,91330
Leuville-sur-Orge (91310),Leuville-sur-Orge,91333
Limours (91470),Limours,91338
Linas (91310),Linas,91339
Longjumeau (91160),Longjumeau,91345
Longpont-sur-Orge (91310),Longpont-sur-Orge,91347
Maisse (91720),Maisse,91359
Marcoussis (91460),Marcoussis,91363
Marolles-en-Hurepoix (91630),Marolles-en-Hurepoix,91376
Mennecy (91540),Mennecy,91386
Milly-la-Forêt (91490),Milly-la-Forêt,91405
Les Molières (91470),Les Molières,91411
Montgeron (91230),Montgeron,91421
Montlhéry (91310),Montlhéry,91425
Morangis (91420),Morangis,91432
Morsang-sur-Orge (91390),Morsang-sur-Orge,91434
Ormoy-la-Rivière (91150),Ormoy-la-Rivière,91469
Orsay (91400),Orsay,91471
Palaiseau (91120),Palaiseau,91477
Ris-Orangis (91130),Ris-Orangis,91521
Saint-Chéron (91530),Saint-Chéron,91540
Saint-Cyr-sous-Dourdan (91410),Saint-Cyr-sous-Dourdan,91546
Sainte-Geneviève-des-Bois (91700),Sainte-Geneviève-des-Bois,91549
Saint-Germain-lès-Arpajon (91180),Saint-Germain-lès-Arpajon,91552
Saint-Germain-lès-Corbeil (91250),Saint-Germain-lès-Corbeil,91553
Saint-Pierre-du-Perray (91280),Saint-Pierre-du-Perray,91573
Saulx-les-Chartreux (91160),Saulx-les-Chartreux,91587
Savigny-sur-Orge (91600),Savigny-sur-Orge,91589
Soisy-sur-Seine (91450),Soisy-sur-Seine,91600
Tigery (91250),Tigery,91617
Vayres-sur-Essonne (91820),Vayres-sur-Essonne,91639
Vigneux-sur-Seine (91270),Vigneux-sur-Seine,91657
Villabé (91100),Villabé,91659
Villebon-sur-Yvette (91140),Villebon-sur-Yvette,91661
La Ville-du-Bois (91620),La Ville-du-Bois,91665
Villiers-sur-Orge (91700),Villiers-sur-Orge,91685
Viry-Châtillon (91170),Viry-Châtillon,91687
Wissous (91320),Wissous,91689
Yerres (91330),Yerres,91691
Antony (92160),Antony,92002
Asnières-sur-Seine (92600),Asnières-sur-Seine,92004
Bagneux (92220),Bagneux,92007
Bois-Colombes (92270),Bois-Colombes,92009
Boulogne-Billancourt (92100),Boulogne-Billancourt,92012
Bourg-la-Reine (92340),Bourg-la-Reine,92014
Châtenay-Malabry (92290),Châtenay-Malabry,92019
Châtillon (92320),Châtillon,92020
Chaville (92370),Chaville,92022
Clamart (92140),Clamart,92023
Clichy (92110),Clichy,92024
Colombes (92700),Colombes,92025
Courbevoie (92400),Courbevoie,92026
Fontenay-aux-Roses (92260),Fontenay-aux-Roses,92032
Garches (92380),Garches,92033
La Garenne-Colombes (92250),La Garenne-Colombes,92035
Gennevilliers (92230),Gennevilliers,92036
Issy-les-Moulineaux (92130),Issy-les-Moulineaux,92040
Levallois-Perret (92300),Levallois-Perret,92044
Malakoff (92240),Malakoff,92046
Meudon,Meudon,92048
Meudon (92190),Meudon,92048
